"Code", ""Wahl"/"Pflicht"", "Lernort", "Kriterium", "Niveau" 
"d4.14", "Wahl", "BFS", "Sie gestalten und strukturieren Schulungsunterlagen adressatengerecht und mit unterschiedlichen Repräsentationsformen.", "LN 3"
"d4.15", "Wahl", "BE", "Sie überprüfen die Lernziele resp. die angestrebten Kompetenzen.", "LN 4"
"d4.16", "Wahl", "BFS", "Sie reflektieren die Erreichung der eigenen Lernziele.", "LN 5"
"d4.17", "Wahl", "BE", "Sie führen eine abschliessende Teilnehmerumfrage und eine selbstkritische Reflexion durch.", "LN 5"
"d5.1", "Wahl", "BE", "Sie planen und organisieren die Fertigung in der Elektronik.", "LN 4"
"d5.2", "Wahl", "BE", "Sie beschaffen die nötigen Komponenten.", "LN 3"
"d5.3", "Wahl", "BE", "Sie organisieren die Produktionsunterlagen.", "LN 3"
"d5.4", "Wahl", "BE", "Sie überprüfen die Produktionsunterlagen auf offensichtliche Fehler.", "LN 3"
"d5.5", "Wahl", "BE", "Sie organisieren die nötigen Betriebs- und Messmittel.", "LN 3"
"d5.6", "Wahl", "BE", "Sie halten zum Schutz von Personen und Betriebsmittel die Sicherheitsmassnahmen ein.", "LN 3"
"d5.7", "Wahl", "BFS", "Sie erklären die Effekte der elektrostatischen Entladung (ESD).", "LN 1"
"d5.8", "Wahl", "BE", "Sie arbeiten in verschiedenen Positionen innerhalb einer Fertigung für elektronische Produkte.", "LN 3"
"d5.9", "Wahl", "BE", "Sie überwachen die Produktionsanlagen und treffen, wenn nötig, Massnahmen.", "LN 3"
"d5.10", "Wahl", "BE", "Sie testen die Funktion der Produkte gemäss den Vorgaben.", "LN 3"
"d5.11", "Wahl", "BE", "Sie installieren Firmware in den Geräten.", "LN 3"
"d5.12", "Wahl", "BE", "Sie melden Unregelmässigkeiten beim Auftraggeber.", "LN 3"
"d5.13", "Wahl", "BE", "Sie bereinigen Fehler in Absprache mit dem Auftraggeber in den Unterlagen und der Betriebsmittel.", "LN 3"
"d6.1", "Wahl", "BE", "Sie stellen Defekte bei Produktions- und Arbeitsmitteln fest.", "LN 3"
"d6.2", "Wahl", "BE", "Sie interpretieren Qualitätssicherungsmerkmale an Produktions- und Arbeitsmittel.", "LN 3"
"d6.3", "Wahl", "BE", "Sie klären vorhandene Garantieansprüche ab.", "LN 3"
"d6.4", "Wahl", "BFS", "Sie beschaffen und strukturieren Daten aus unterschiedlichen Quellen.", "LN 3"
"d6.5", "Wahl", "BE", "Sie führen die vorgeschriebenen Schritte gemäss Wartungsunterlagen durch.", "LN 3"
"d6.6", "Wahl", "BE", "Sie dokumentieren die vorliegenden Messwerte im Bezug zum Soll-Wert.", "LN 3"
"d6.7", "Wahl", "BE", "Sie erfassen in der internen Datenbank den Zustand der Geräte.", "LN 3"
"d6.8", "Wahl", "BE", "Sie klären im Falle einer Beanstandung das weitere Vorgehen ab.", "LN 4"
"d6.9", "Wahl", "BE", "Sie untersuchen systematisch eine Fehlfunktion eines Gerätes.", "LN 4"
"d6.10", "Wahl", "BE", "Sie stellen mit Hilfe der Bedienungsanleitung ein Gerät gemäss den Anforderungen ein.", "LN 3"
"d6.11", "Wahl", "BE", "Sie beheben im Rahmen ihrer Kompetenz die Fehlfunktion.", "LN 4"
"d6.12", "Wahl", "BE", "Sie orientieren den Auftraggeber über Umfang und Zeitdauer der Instandhaltung.", "LN 4"
"d6.13", "Wahl", "BE", "Sie kennzeichnen die gewarteten Geräte.", "LN 3"
"d7.1", "Wahl", "BE", "Sie interpretieren die Fertigungsunterlagen einer automatisierten Anlage.", "LN 4"
"d7.2", "Wahl", "BE", "Sie studieren die Fertigungsunterlagen und erkennen die Funktion der Anlage.", "LN 4"
"d7.3", "Wahl", "BE", "Sie beschaffen sich selbständig Informationen zur Funktion einer automatisierten Anlage.", "LN 3"
"d7.4", "Wahl", "BE", "Sie erstellen auf der Grundlage der Fertigungsunterlagen einen Arbeitsplan.", "LN 3"
"d7.5", "Wahl", "BE", "Sie überwachen Prozessdaten in automatisierten Anlagen und leiten, wenn nötig Massnahmen ein.", "LN 4"
"d7.6", "Wahl", "BE", "Sie binden zur Auswertung die Prozessdaten in eine Cloud ein.", "LN 3"
"d7.7", "Wahl", "BE", "Sie lesen vorhandene Prozessdaten aus.", "LN 2"
"d7.8", "Wahl", "BE", "Sie analysieren die ausgelesenen Prozessdaten und stellen Trendwerte grafisch dar.", "LN 2"
"d7.9", "Wahl", "BE", "Sie bestimmen aus den Prozessdaten mögliche Optimierungen.", "LN 5"
"d7.10", "Wahl", "BFS", "Sie bestimmen Produktionsphasen mit guter Qualität und werten daraus Vergleichswerte der Prozessdaten aus.", "LN 4"
"d7.11", "Wahl", "BFS", "Sie definieren Erfassungszyklen, Datenstrukturen und Speicherung.", "LN 3"
"d7.12", "Wahl", "BFS", "Sie definieren Alarmwerte, setzen in der Software Warn- & Alarmpunkte und definieren die Adressaten der Meldungen.", "LN 3"
"d7.13", "Wahl", "BFS", "Sie machen Vorschläge zu möglichen Echtzeitauswertungen und die verschiedenen Möglichkeiten der grafischen Darstellung.", "LN 4"
"d7.14", "Wahl", "BFS", "Sie wählen zur Datenerfassung eine zukunftsgerichtete Netzinfrastruktur.", "LN 3"
"d7.15", "Wahl", "BFS", "Sie verwenden zur Prozessdatenanalyse passende KI-Module.", "LN 2"
"d8.1", "Wahl", "BE", "Sie passen die Vorgehensweise der Gerätesituation an.", "LN 3"
"d8.2", "Wahl", "BE", "Sie beschaffen die Dokumentationen für die Geräte bei den zuständigen Stellen.", "LN 3"
"d8.3", "Wahl", "BE", "Sie prüfen die Geräte unter Berücksichtigung derer Funktionen in der Gesamtanlage und im Gesamtprozess.", "LN 4"
"d8.4", "Wahl", "BFS", "Sie erklären auf Grund von aktuellen und alten Unterlagen elektronische Geräte deren Funktion und Aufbau.", "LN 2"
"d8.5", "Wahl", "BE", "Sie berücksichtigen in ihrem Vorgehen in der Gesamtanlage die Sicherheitsaspekte.", "LN 3"
"d8.6", "Wahl", "BE", "Sie prüfen die Geräte unter Einhaltung der Richtlinien für den Personenschutz.", "LN 3"
"d8.7", "Wahl", "BFS", "Sie erklären die Richtlinien für den Personenschutz.", "LN 2"
"d8.8", "Wahl", "BE", "Sie planen zusammen mit den verantwortlichen Personen den Prüfablauf.", "LN 4"
"d8.9", "Wahl", "BE", "Sie besprechen mit den zuständigen Personen auftretende Probleme und nötige Massnahmen bezüglich Wartung und Reparatur.", "LN 4"
"d8.10", "Wahl", "BE", "Sie erstellen einen Prüfbericht mit den getätigten Messungen und Massnahmen.", "LN 3"
"d9.1", "Wahl", "BE", "Sie wählen auf Grund des Pflichtenhefts die geeignetsten Geräte.", "LN 4"
"d9.2", "Wahl", "BFS", "Sie setzen verschiedene Regler Typen zur Steuerung beispielhafter Regelstrecken ein.", "LN 4"
"d9.3", "Wahl", "BFS", "Sie setzen in Beispielen von technischen Systemen verschiedene Arten der automatischen Produktverfolgung und Qualitätskontrolle ein.", "LN 4"
"d9.4", "Wahl", "BE", "Sie verbinden oder vernetzen zur Erfüllung der Anforderungen aus dem Pflichtenheft verschiedene Geräte.", "LN 4"
"d9.5", "Wahl", "BFS", "Sie erstellen beispielhafte Topologien von verschiedenen Bussystemen und Netzwerken.", "LN 4"
"d9.6", "Wahl", "BFS", "Sie setzen verschiedene Arten von Bus- und Netzwerkverbindungen in Beispielen ein.", "LN 3"
"d9.7", "Wahl", "BE", "Sie konfigurieren zur Lösung der gestellten Aufgabe die Geräte.", "LN 5"
"d9.8", "Wahl", "BE", "Sie nehmen das technische System unter Berücksichtigung von Sicherheitsvorschriften in Betrieb und dokumentieren dies nachvollziehbar.", "LN 3"
"d9.9", "Wahl", "BFS", "Sie stellen den Aufbau von technischen Systemen graphisch dar.", "LN 3"
"d9.10", "Wahl", "BE", "Sie beheben Fehler oder Probleme und dokumentieren gemachte Änderungen.", "LN 4"
